Price,Close,High,Low,Open,Volume
Ticker,TCS.NS,TCS.NS,TCS.NS,TCS.NS,TCS.NS
Date,,,,,
2017-05-30,1027.8028564453125,1037.8145178650552,1017.2874889968768,1031.3885036958434,927634
2017-05-31,1025.9898681640625,1036.4245796900625,1018.4961467274939,1020.5105773974453,2502730
2017-06-01,1028.809814453125,1032.9997898570357,1019.301664718526,1019.301664718526,1080064
2017-06-02,1033.3629150390625,1044.2207782888327,1028.3671648265772,1029.8779882812685,1355648
2017-06-05,1049.09521484375,1055.5212283098979,1031.4487844218331,1033.4028213035353,1500188
2017-06-06,1086.1805419921875,1091.397895472395,1059.59006878318,1059.9929547408922,5946720
2017-06-07,1053.647705078125,1087.792296610625,1038.0560351655424,1086.5836385032799,4927776
2017-06-08,1015.9175415039062,1049.498036026812,1013.459897161478,1046.6979975454262,3330714
2017-06-09,1010.035400390625,1026.311958643322,1001.5747927287969,1015.2729194193757,3148034
2017-06-12,1002.0584716796875,1012.4126266728949,995.2899642885052,1006.0067758546173,1626506
2017-06-13,998.7381591796875,1010.7765678527549,996.8845125886454,1004.2175412877036,1175414
2017-06-14,1006.3360595703125,1008.6989445182462,1000.1437434540769,1000.1437434540769,1489142
2017-06-15,982.2999877929688,1006.1323328699335,979.7741864974396,1005.8471794021532,2997198
2017-06-16,977.6148681640625,991.9957713117414,972.2373339776061,983.8275726866515,2450426
2017-06-19,990.6513061523438,996.6196357330863,979.8350701536075,984.6219077902495,1644742
2017-06-20,996.0695190429688,997.6990806283151,969.7113802921003,990.3660534942564,1670958
2017-06-21,980.3037719726562,994.908661601092,976.5964786689447,994.0328118175302,1657818
2017-06-22,975.6390991210938,990.3662247104943,971.6262632392139,981.4036344416211,5775882
2017-06-23,962.1339721679688,983.4201224347846,958.9970857049701,977.4925717028233,1424756
2017-06-27,954.4545288085938,971.5037554142241,949.8713873349508,957.6118040459921,1974330
2017-06-28,957.3880615234375,960.6267960965342,951.2568146248547,957.3268932722796,1789726
2017-06-29,950.5437622070312,966.3505314717489,946.4087889466168,961.0340662365313,2471826
2017-06-30,962.3992919921875,968.3675249214929,946.40920980743,946.9387380565321,1753848
2017-07-03,966.9819946289062,970.8318144205166,954.5565861258884,960.3821898883657,1475956
2017-07-04,964.232177734375,969.7726284731966,957.3879979176525,966.8598263847463,1215134
2017-07-05,959.8121337890625,963.4786487313806,955.3308377484515,961.7676283170822,815856
2017-07-06,956.3697509765625,962.215745970424,953.3347111270009,961.0343531035359,1026788
2017-07-07,950.0140380859375,959.9951030403586,947.3863898573935,957.3674548118146,1232090
2017-07-10,991.9754028320312,996.028918107419,969.1615365626819,980.1814686438287,783608
2017-07-11,1008.6171875,1024.5054133408223,988.3291253803789,988.3291253803789,3537504
2017-07-12,993.808349609375,1011.6724558850676,989.9993095891077,1011.3465237194564,2646450
2017-07-13,996.6403198242188,1007.0695589241765,988.5740655469431,996.0700127708785,3131960
2017-07-14,976.6981201171875,987.9217458226642,967.5522252902382,970.8113485754263,4508432
2017-07-17,975.8834838867188,986.7404996154507,970.4855601458478,976.8001124464894,2211822
2017-07-18,981.1386108398438,995.2546469943744,976.1683688918271,976.1683688918271,1908002
2017-07-19,997.94384765625,1002.1806692379038,983.8888748559624,984.0517912781124,3915576
2017-07-20,995.9473266601562,1000.9174698260646,990.1624026650645,997.8009729386584,1182504
2017-07-21,1014.8912963867188,1018.4763530415412,991.8126620110299,991.955189024107,2148416
2017-07-24,1033.8880615234375,1037.6874884173808,1013.992262303913,1013.992262303913,2271402
2017-07-25,1050.556396484375,1054.028972556752,1028.8629695947316,1031.8657664477582,2678832
2017-07-26,1044.2239990234375,1051.9862274981813,1040.5471539564535,1045.8581523865414,1459826
2017-07-27,1013.8697509765625,1055.9901008951906,1007.6599870999071,1038.5863247529844,4255304
2017-07-28,1014.9321899414062,1018.5069017263922,997.650991878391,1013.5839929771859,1382752
2017-07-31,1017.9959716796875,1029.108195847062,1006.230046197425,1009.4983532902303,2019662
2017-08-01,1022.0198364257812,1029.8229581432001,1017.6689432647868,1021.3457881019539,1747460
2017-08-02,1010.642333984375,1024.614327594315,1005.8215608202565,1021.3460203292613,1251024
2017-08-03,1017.0361328125,1022.1633108546839,1007.6397474609181,1013.1754639966491,1882548
2017-08-04,1030.66064453125,1032.9076056202016,1016.4434889657208,1017.5874163773501,1387890
2017-08-07,1022.7553100585938,1029.5166396840452,1013.6653317915421,1028.0867554622619,1885520
2017-08-08,1022.5921020507812,1033.0302785270705,1019.8344677429598,1026.2485009255797,1073958
2017-08-09,1026.2484130859375,1030.681094416174,1018.6087653092968,1021.3459525138709,992946
2017-08-10,1026.023681640625,1029.7618676152524,1015.7694282756613,1025.0227825703353,1526172
2017-08-11,1019.732666015625,1035.6452225640492,1014.4012179986329,1021.3054795860504,1394736
2017-08-14,1008.8449096679688,1025.3907185516468,1006.2303032221937,1022.5718428603942,786504
2017-08-16,1018.2210083007812,1039.2402949605955,1007.1291277680941,1014.8096718023687,1373340
2017-08-17,1015.4834594726562,1023.3887176067864,1005.86245970458,1021.631982494666,1752374
2017-08-18,1026.984130859375,1041.732311290105,1009.6620381154174,1010.724278142383,2837356
2017-08-21,1033.112060546875,1041.364517354519,1019.0174839094757,1023.5930946377981,2304834
2017-08-22,1020.3450317382812,1037.4831965089813,1018.0776238237374,1030.742313365686,1131326
2017-08-23,1017.0361328125,1028.2097005073485,1010.3769354195147,1023.388926335325,1562272
2017-08-24,1019.956787109375,1028.679020204493,1015.6874819669098,1020.4061194069828,1623908
2017-08-28,1016.1575317382812,1023.5520165660878,1005.4129524044067,1023.2252656549922,2036796
2017-08-29,1009.4370727539062,1019.7117728767519,1006.6180981526678,1013.9922356891418,1312602
2017-08-30,1015.033935546875,1017.2604495143179,1005.0451932498048,1013.5836045160733,970782
2017-08-31,1019.8550415039062,1023.1436963690137,1007.7213692471414,1015.2180900093398,1784664
2017-09-01,1003.553955078125,1020.549189405879,995.4240822536403,1013.1750526431184,1702330
2017-09-04,1003.4520263671875,1005.4130306905307,996.0166472261333,1002.1856171360452,1062544
2017-09-05,1014.952392578125,1017.2605945932241,995.6285067166042,1005.0044428511371,1165994
2017-09-06,1002.2259521484375,1011.0708645511509,1000.9186497785149,1008.333578655053,1228764
2017-09-07,1005.045166015625,1008.4359542961478,1001.34787425275,1004.1871956429618,870636
2017-09-08,1009.3351440429688,1010.7241348898145,1001.9610050023359,1002.4512311988208,1021134
2017-09-11,1002.7371215820312,1014.3804667443326,1000.9191455311707,1009.5801402300505,732764
2017-09-12,1016.6268310546875,1020.1198525001886,1003.7783250272181,1010.6825804882408,1396460
2017-09-13,1016.9336547851562,1034.2760880317676,1011.2141178069036,1021.3458889736844,1278980
2017-09-14,1016.0145874023438,1020.3655813501705,1009.8660643316293,1013.9923422038892,1081510
2017-09-15,1023.8176879882812,1028.2911635669577,1015.2179346300716,1020.9374722899593,2944072
2017-09-18,1020.9578247070312,1029.0876983037144,1016.9541287673372,1023.368161172955,726600
2017-09-19,1020.6307983398438,1023.3884318388107,1017.8731648408769,1023.3884318388107,782754
2017-09-20,1018.7109375,1027.065527751726,1010.8465733754094,1027.065527751726,1334642
2017-09-21,1031.518310546875,1038.0958170526176,1013.1749808305751,1017.6893489796124,2438740
2017-09-22,1022.8168334960938,1032.3356989386443,1018.0777479032636,1029.47592998386,2435396
2017-09-25,1025.738037109375,1035.236557218025,1018.3843441220331,1019.9368103675298,1599558
2017-09-26,1010.9894409179688,1032.131301638531,1007.4556239015817,1025.4313122437025,1449230
2017-09-27,1019.3034057617188,1026.3302469675014,1010.6219639290789,1017.2607135658035,2010356
2017-09-28,1011.7249755859375,1027.0656135891034,1001.7362309150682,1019.1808019375688,4332866
2017-09-29,995.1793823242188,1014.8096780494727,989.2760206911425,1012.7669854608063,1985014
2017-10-03,1000.2860107421875,1002.6760007210399,991.5433272597431,996.8338805711641,1923006
2017-10-04,997.7730102539062,1002.552887937726,990.7052784225696,1000.7553594938098,1300778
2017-10-05,992.5850830078125,998.2432808382761,990.4606032216559,997.2423815587417,1684686
2017-10-06,999.5503540039062,1002.9616892588099,991.9516002352717,992.7482301013882,1389188
2017-10-09,1002.59423828125,1008.2524359028818,997.2627916231195,997.2627916231195,1773616
2017-10-10,1004.6978759765625,1009.0692161068607,1001.4295693758459,1002.9615880949318,1222010
2017-10-11,1021.4893798828125,1027.2497134607443,1003.6770596163584,1005.0048098733049,1527746
2017-10-12,1041.0374755859375,1043.8155565064071,1024.2057143489483,1026.6569446186306,5006356
2017-10-13,1045.2862548828125,1065.8561008167105,1030.7422498283877,1041.037396228096,4066320
2017-10-16,1055.8265380859375,1058.1143928858003,1043.8359966056391,1043.8359966056391,1218590
2017-10-17,1059.9735107421875,1068.3076556610217,1053.0283567295462,1056.0719483928008,1443016
2017-10-18,1056.7255859375,1067.7764711260509,1054.02919229344,1060.1572689928205,1514144
2017-10-19,1055.62255859375,1060.4842264424472,1050.3524519981472,1058.9317602408394,86822
2017-10-23,1057.2567138671875,1074.0476856309383,1040.7313519653096,1055.663453659317,1886088
2017-10-24,1053.3751220703125,1070.7379999727257,1049.5553487762597,1070.3703553958167,1339020
2017-10-25,1048.6646728515625,1070.8268133157214,1046.6574246448617,1056.2842150476617,1105106
2017-10-26,1040.0413818359375,1052.4537140038105,1031.4591224490364,1038.5051922099783,3007552
2017-10-27,1058.6600341796875,1062.2853818747376,1036.5389024358615,1039.6931919598258,1409270
2017-10-30,1071.727783203125,1073.2844753454078,1057.5948387758667,1059.3563561997041,1137252
2017-10-31,1074.9232177734375,1081.4776276379096,1065.6241687806892,1065.6241687806892,1592634
